layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	1	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	1	Body	30	1	30	100	70	1
reaction-recovered	Chasing	1	Body	30	1	30	100	70	1
head-shot	Chasing	2	Head	30	2	60	70	10	2
lethal-body	Dead	3	Body	30	1	30	10	0	3
death-middle	Dead	3	Body	30	1	30	10	0	3
corpse-final	Dead	3	Body	30	1	30	10	0	3
corpse-inactive	Dead	3	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	4	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	4	Body	30	1	30	100	70	1
loop-lethal	Dead	6	Body	30	1	30	10	0	3
loop-complete	Dead	6	Body	30	1	30	10	0	3
layout-Idle	Chasing	7	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	8	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	9	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	10	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	14	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	17	Body	30	1	30	10	0	3
lethal-Recovering	Dead	20	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	5	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	5	Body	30	1	30	100	70	1
reaction-recovered	Chasing	5	Body	30	1	30	100	70	1
head-shot	Chasing	6	Head	30	2	60	70	10	2
lethal-body	Dead	7	Body	30	1	30	10	0	3
death-middle	Dead	7	Body	30	1	30	10	0	3
corpse-final	Dead	7	Body	30	1	30	10	0	3
corpse-inactive	Dead	7	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	8	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	8	Body	30	1	30	100	70	1
loop-lethal	Dead	10	Body	30	1	30	10	0	3
loop-complete	Dead	10	Body	30	1	30	10	0	3
layout-Idle	Chasing	11	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	12	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	13	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	14	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	18	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	21	Body	30	1	30	10	0	3
lethal-Recovering	Dead	24	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	15	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	15	Body	30	1	30	100	70	1
reaction-recovered	Chasing	15	Body	30	1	30	100	70	1
head-shot	Chasing	16	Head	30	2	60	70	10	2
lethal-body	Dead	17	Body	30	1	30	10	0	3
death-middle	Dead	17	Body	30	1	30	10	0	3
corpse-final	Dead	17	Body	30	1	30	10	0	3
corpse-inactive	Dead	17	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	18	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	18	Body	30	1	30	100	70	1
loop-lethal	Dead	20	Body	30	1	30	10	0	3
loop-complete	Dead	20	Body	30	1	30	10	0	3
layout-Idle	Chasing	21	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	22	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	23	Head	0.01	2	0.02	99.96001	99.94001	3
